"=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.label"", ""label"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RSZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""CPlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""SZlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""Slabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.standard"", ""name"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level"", ""level"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.index"", ""index"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.genus"", ""genus"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.gonality"", ""q_gonality_bounds"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""rational_cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cm_discriminants"", ""cm_discriminants"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/ag.conductor"", ""conductor"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.simple"", ""simple"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/av.squarefree"", ""squarefree"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.contains_negative_one"", ""contains_negative_one"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.decomposition"", ""dims"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.models"", ""models"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.known_points"", ""num_known_degree1_points"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.local_obstruction"", ""pointless"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level_structure"", ""generators"")"
16.48.2-16.f.1.1,16.48.2.56,,16B2,,,,16,48,2,"[2, 2]",2,2,[-8],"[[2, 12]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[7, 1, 14, 15], [13, 14, 4, 9], [13, 15, 14, 11]]"
16.48.2-16.f.1.2,16.48.2.82,,16B2,,,,16,48,2,"[2, 2]",2,2,[-8],"[[2, 12]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[9, 7, 10, 13], [15, 2, 4, 13], [15, 8, 0, 11]]"
16.48.2-16.f.1.3,16.48.2.70,,16B2,,,,16,48,2,"[2, 2]",2,2,[-8],"[[2, 12]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[7, 5, 6, 7], [7, 10, 12, 11], [9, 2, 4, 15]]"
16.48.2-16.f.1.4,16.48.2.76,,16B2,,,,16,48,2,"[2, 2]",2,2,[-8],"[[2, 12]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[5, 1, 2, 3], [7, 3, 10, 7], [9, 11, 14, 3]]"
16.48.2-16.f.1.5,16.48.2.74,,16B2,,,,16,48,2,"[2, 2]",2,2,[-8],"[[2, 12]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[7, 4, 8, 3], [9, 7, 2, 1], [11, 6, 12, 1]]"
16.48.2-16.f.1.6,16.48.2.64,,16B2,,,,16,48,2,"[2, 2]",2,2,[-8],"[[2, 12]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[7, 13, 10, 1], [9, 10, 4, 15], [15, 10, 12, 11]]"
16.48.2-16.f.1.7,16.48.2.84,,16B2,,,,16,48,2,"[2, 2]",2,2,[-8],"[[2, 12]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[1, 6, 4, 5], [7, 5, 14, 11], [15, 5, 10, 1]]"
16.48.2-16.f.1.8,16.48.2.62,,16B2,,,,16,48,2,"[2, 2]",2,2,[-8],"[[2, 12]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[3, 0, 0, 1], [7, 2, 4, 1], [11, 3, 14, 1]]"
16.96.2-16.ba.1.1,16.96.2.139,,8B2,,,,16,96,2,"[2, 2]",6,2,[-4],"[[2, 14]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[3, 14, 2, 13], [7, 11, 0, 5], [11, 14, 8, 7]]"
16.96.2-16.ba.1.2,16.96.2.149,,8B2,,,,16,96,2,"[2, 2]",6,2,[-4],"[[2, 14]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[1, 6, 6, 15], [3, 8, 2, 5], [13, 7, 8, 11]]"
16.96.2-16.ba.1.3,16.96.2.145,,8B2,,,,16,96,2,"[2, 2]",6,2,[-4],"[[2, 14]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[5, 2, 14, 11], [9, 15, 0, 15], [13, 11, 6, 7]]"
16.96.2-16.ba.1.4,16.96.2.143,,8B2,,,,16,96,2,"[2, 2]",6,2,[-4],"[[2, 14]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[1, 7, 14, 3], [1, 15, 8, 15], [13, 5, 8, 7]]"
16.96.2-16.bg.1.1,16.96.2.154,,8B2,,,,16,96,2,"[2, 2]",6,0,[-4],"[[2, 14]]",False,True,False,"[[1, 1], [1, 1]]",,1,False,"[[3, 10, 10, 13], [7, 11, 6, 5], [11, 5, 14, 9]]"
16.96.2-16.bg.1.2,16.96.2.168,,8B2,,,,16,96,2,"[2, 2]",6,0,[-4],"[[2, 14]]",False,True,False,"[[1, 1], [1, 1]]",,1,False,"[[3, 4, 2, 13], [5, 14, 8, 9], [13, 1, 10, 15]]"
16.96.2-16.bg.1.3,16.96.2.164,,8B2,,,,16,96,2,"[2, 2]",6,0,[-4],"[[2, 14]]",False,True,False,"[[1, 1], [1, 1]]",,1,False,"[[3, 10, 2, 13], [7, 7, 12, 13], [7, 10, 0, 3]]"
16.96.2-16.bg.1.4,16.96.2.158,,8B2,,,,16,96,2,"[2, 2]",6,0,[-4],"[[2, 14]]",False,True,False,"[[1, 1], [1, 1]]",,1,False,"[[5, 11, 2, 7], [7, 12, 10, 9], [13, 10, 0, 9]]"
16.96.2-16.bp.1.1,16.96.2.112,,16D2,,,,16,96,2,"[2, 2]",6,2,[-4],"[[2, 14]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[3, 4, 6, 1], [5, 7, 12, 11], [9, 11, 10, 3]]"
16.96.2-16.bp.1.2,16.96.2.108,,16D2,,,,16,96,2,"[2, 2]",6,2,[-4],"[[2, 14]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[7, 13, 14, 13], [13, 8, 2, 15], [13, 11, 12, 3]]"
16.96.2-16.bp.1.3,16.96.2.114,,16D2,,,,16,96,2,"[2, 2]",6,2,[-4],"[[2, 14]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[3, 8, 4, 7], [9, 11, 14, 11], [13, 7, 4, 3]]"
16.96.2-16.bp.1.4,16.96.2.118,,16D2,,,,16,96,2,"[2, 2]",6,2,[-4],"[[2, 14]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[1, 7, 4, 15], [3, 9, 2, 9], [11, 5, 14, 1]]"
16.96.2-16.bq.1.1,16.96.2.91,,16D2,,,,16,96,2,"[2, 2]",6,0,[-4],"[[2, 14]]",False,True,False,"[[1, 1], [1, 1]]",,1,False,"[[5, 10, 6, 3], [7, 8, 12, 11], [9, 11, 0, 7]]"
16.96.2-16.bq.1.2,16.96.2.101,,16D2,,,,16,96,2,"[2, 2]",6,0,[-4],"[[2, 14]]",False,True,False,"[[1, 1], [1, 1]]",,1,False,"[[1, 0, 4, 13], [1, 5, 10, 3], [9, 3, 4, 7]]"
16.96.2-16.bq.1.3,16.96.2.97,,16D2,,,,16,96,2,"[2, 2]",6,0,[-4],"[[2, 14]]",False,True,False,"[[1, 1], [1, 1]]",,1,False,"[[11, 7, 2, 9], [11, 7, 6, 1], [11, 9, 4, 5]]"
16.96.2-16.bq.1.4,16.96.2.95,,16D2,,,,16,96,2,"[2, 2]",6,0,[-4],"[[2, 14]]",False,True,False,"[[1, 1], [1, 1]]",,1,False,"[[3, 1, 0, 13], [7, 0, 4, 3], [15, 6, 6, 13]]"
16.96.2-16.br.1.1,16.96.2.105,,16D2,,,,16,96,2,"[2, 2]",6,2,[-4],"[[2, 14]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[1, 15, 8, 15], [3, 13, 6, 1], [9, 3, 14, 11]]"
16.96.2-16.br.1.2,16.96.2.115,,16D2,,,,16,96,2,"[2, 2]",6,2,[-4],"[[2, 14]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[3, 9, 0, 13], [9, 3, 4, 7], [9, 3, 10, 11]]"
16.96.2-16.br.1.3,16.96.2.109,,16D2,,,,16,96,2,"[2, 2]",6,2,[-4],"[[2, 14]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[3, 5, 4, 13], [9, 12, 2, 3], [13, 7, 0, 3]]"
16.96.2-16.br.1.4,16.96.2.119,,16D2,,,,16,96,2,"[2, 2]",6,2,[-4],"[[2, 14]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[3, 13, 10, 1], [7, 0, 6, 13], [11, 8, 4, 7]]"
16.96.2-16.c.1.1,16.96.2.64,,16C2,,,,16,96,2,"[2, 2]",6,2,[-4],"[[2, 16]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[5, 6, 8, 5], [9, 12, 10, 11], [15, 6, 10, 5]]"
16.96.2-16.c.1.2,16.96.2.13,,16C2,,,,16,96,2,"[2, 2]",6,2,[-4],"[[2, 16]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[3, 8, 2, 5], [7, 10, 2, 13], [7, 14, 6, 1]]"
16.96.2-16.c.1.3,16.96.2.5,,16C2,,,,16,96,2,"[2, 2]",6,2,[-4],"[[2, 16]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[9, 2, 6, 3], [11, 0, 2, 13], [11, 2, 4, 15]]"
16.96.2-16.c.1.4,16.96.2.60,,16C2,,,,16,96,2,"[2, 2]",6,2,[-4],"[[2, 16]]",False,True,False,"[[1, 1], [1, 1]]",,2,False,"[[5, 2, 2, 3], [7, 8, 6, 13], [9, 12, 6, 7]]"
16.96.2-16.c.2.1,16.96.2.63,,16C2,,,,16,96,2,"[2, 2]",6,2,[],"[[2, 16]]",False,True,False,"[[1, 1], [1, 1]]",,1,False,"[[7, 6, 4, 3], [7, 6, 10, 5], [7, 12, 2, 9]]"
16.96.2-16.c.2.2,16.96.2.14,,16C2,,,,16,96,2,"[2, 2]",6,2,[],"[[2, 16]]",False,True,False,"[[1, 1], [1, 1]]",,1,False,"[[1, 10, 2, 15], [13, 2, 6, 15], [13, 4, 2, 7]]"
16.96.2-16.c.2.3,16.96.2.6,,16C2,,,,16,96,2,"[2, 2]",6,2,[],"[[2, 16]]",False,True,False,"[[1, 1], [1, 1]]",,1,False,"[[7, 14, 12, 11], [9, 8, 12, 13], [13, 2, 14, 7]]"
16.96.2-16.c.2.4,16.96.2.59,,16C2,,,,16,96,2,"[2, 2]",6,2,[],"[[2, 16]]",False,True,False,"[[1, 1], [1, 1]]",,1,False,"[[3, 4, 4, 15], [5, 10, 2, 3], [11, 4, 6, 9]]"
16.96.2-16.l.1.1,16.96.2.76,,8A2,,,,16,96,2,"[2, 2]",6,2,[],"[[2, 16]]",False,True,False,"[[1, 1], [1, 1]]",,1,False,"[[1, 10, 12, 5], [7, 10, 8, 11], [11, 1, 0, 1]]"
16.96.2-16.l.1.2,16.96.2.79,,8A2,,,,16,96,2,"[2, 2]",6,2,[],"[[2, 16]]",False,True,False,"[[1, 1], [1, 1]]",,1,False,"[[1, 6, 0, 13], [5, 11, 8, 15], [7, 8, 12, 15]]"
