"=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.label"", ""label"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RSZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""CPlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""SZlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""Slabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.standard"", ""name"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level"", ""level"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.index"", ""index"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.genus"", ""genus"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.gonality"", ""q_gonality_bounds"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""rational_cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cm_discriminants"", ""cm_discriminants"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/ag.conductor"", ""conductor"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.simple"", ""simple"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/av.squarefree"", ""squarefree"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.contains_negative_one"", ""contains_negative_one"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.decomposition"", ""dims"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.models"", ""models"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.known_points"", ""num_known_degree1_points"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.local_obstruction"", ""pointless"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level_structure"", ""generators"")"
15.60.2.d.1,15.60.2.4,,15D2,,,Xns+(15),15,60,2,"[2, 2]",4,0,"[-3, -7, -28, -43, -67, -163]","[[3, 4], [5, 4]]",False,True,True,"[[1, 1], [1, 1]]",3,6,False,"[[4, 9, 12, 10], [5, 7, 9, 10], [8, 14, 5, 7]]"
16.48.2.a.1,16.48.2.4,X395,8A2,,,,16,48,2,"[2, 2]",6,0,[-4],"[[2, 16]]",False,False,True,"[[1], [2]]",3,1,False,"[[1, 12, 6, 7], [3, 10, 10, 13], [13, 10, 14, 3], [13, 14, 10, 3]]"
16.48.2.e.1,16.48.2.7,X402,8A2,,,,16,48,2,"[2, 2]",6,0,[-4],"[[2, 16]]",False,False,True,"[[1], [2]]",3,1,False,"[[1, 9, 6, 11], [9, 6, 10, 7], [13, 3, 8, 11]]"
16.48.2.n.1,16.48.2.10,X376,16C2,,,,16,48,2,"[2, 2]",6,0,[-4],"[[2, 16]]",False,False,True,"[[1], [2]]",3,1,False,"[[1, 14, 0, 9], [3, 4, 0, 3], [11, 3, 12, 5], [11, 10, 12, 15]]"
16.48.2.o.1,16.48.2.16,X369,16C2,,,,16,48,2,"[2, 2]",6,0,[-16],"[[2, 16]]",False,False,True,"[[1], [2]]",3,1,False,"[[1, 14, 4, 15], [3, 14, 4, 5], [13, 0, 12, 11], [13, 1, 8, 1]]"
16.48.2.p.1,16.48.2.22,X364,16C2,,,,16,48,2,"[2, 2]",6,0,[-4],"[[2, 16]]",False,False,True,"[[1], [2]]",3,1,False,"[[1, 10, 14, 11], [5, 8, 6, 3], [5, 9, 10, 11]]"
16.64.2.a.1,16.64.2.1,X441,16G2,,,Xns+(16),16,64,2,"[2, 2]",4,0,"[-3, -11, -19, -27, -43, -67, -163]","[[2, 16]]",False,True,True,"[[1, 1], [1, 1]]",3,7,False,"[[4, 5, 1, 12], [5, 1, 15, 4], [5, 2, 14, 3]]"
18.72.2.f.1,18.72.2.13,,18N2,,,,18,72,2,"[2, 2]",6,0,[-3],"[[2, 4], [3, 8]]",False,False,True,"[[1], [2]]",3,1,False,"[[1, 11, 3, 10], [1, 12, 9, 17], [2, 11, 3, 11], [17, 17, 6, 1]]"
20.40.2.e.1,20.40.2.1,,20E2,,,,20,40,2,"[2, 2]",2,0,"[-3, -27, -43, -67, -163]","[[2, 8], [5, 4]]",False,True,True,"[[1, 1], [1, 1]]",3,5,False,"[[1, 17, 11, 14], [4, 7, 7, 0], [8, 7, 17, 19], [17, 19, 17, 8]]"
24.36.2.ba.1,24.36.2.33,,12B2,,,,24,36,2,"[2, 2]",4,0,[-8],"[[2, 12], [3, 4]]",False,False,True,"[[1], [2]]",3,0,False,"[[9, 16, 20, 15], [15, 8, 4, 15], [21, 14, 8, 3], [23, 14, 20, 1], [23, 23, 14, 19]]"
24.36.2.bd.1,24.36.2.76,,12B2,,,,24,36,2,"[2, 2]",4,0,[],"[[2, 12], [3, 4]]",False,False,True,"[[1], [2]]",3,0,,"[[5, 15, 6, 17], [7, 5, 20, 15], [7, 12, 10, 23], [21, 5, 10, 9]]"
24.36.2.bp.1,24.36.2.65,,12E2,,,,24,36,2,"[2, 2]",4,0,[-16],"[[2, 12], [3, 4]]",False,True,True,"[[1, 1], [1, 1]]",3,0,False,"[[1, 4, 20, 1], [17, 21, 18, 5], [17, 22, 14, 11], [19, 21, 6, 17]]"
24.36.2.cb.1,24.36.2.73,,12B2,,,,24,36,2,"[2, 2]",4,0,[],"[[2, 12], [3, 4]]",False,False,True,"[[1], [2]]",3,0,,"[[5, 8, 10, 17], [9, 10, 20, 15], [13, 23, 4, 1], [23, 11, 14, 19]]"
24.36.2.dm.1,24.36.2.81,,12D2,,,,24,36,2,"[2, 2]",4,0,[-4],"[[2, 12], [3, 4]]",False,True,True,"[[1, 1], [1, 1]]",3,0,False,"[[1, 15, 12, 5], [5, 8, 10, 17], [7, 13, 4, 11], [21, 14, 2, 3]]"
24.72.2.bg.1,24.72.2.140,,12I2,,,,24,72,2,"[2, 2]",6,2,[-4],"[[2, 12], [3, 4]]",False,True,True,"[[1, 1], [1, 1]]",3,2,False,"[[3, 19, 20, 21], [17, 11, 2, 7], [17, 23, 10, 11], [19, 20, 22, 1], [19, 22, 14, 1]]"
24.72.2.cf.1,24.72.2.117,,24O2,,,,24,72,2,"[2, 2]",6,2,[-4],"[[2, 12], [3, 4]]",False,True,True,"[[1, 1], [1, 1]]",3,2,False,"[[1, 12, 18, 7], [3, 8, 20, 3], [11, 5, 16, 17], [11, 6, 6, 17], [19, 23, 4, 1]]"
24.72.2.di.1,24.72.2.147,,12I2,,,,24,72,2,"[2, 2]",6,0,"[-4, -28]","[[2, 12], [3, 4]]",False,True,True,"[[1, 1], [1, 1]]",3,0,False,"[[5, 23, 4, 23], [9, 13, 10, 15], [11, 4, 20, 11], [19, 5, 16, 13], [23, 11, 4, 17]]"
24.72.2.en.1,24.72.2.124,,24O2,,,,24,72,2,"[2, 2]",6,0,"[-4, -7]","[[2, 12], [3, 4]]",False,True,True,"[[1, 1], [1, 1]]",3,0,False,"[[1, 2, 4, 13], [3, 8, 4, 15], [9, 20, 22, 15], [13, 17, 20, 11], [19, 18, 0, 19]]"
