"=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.label"", ""label"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RSZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""CPlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""SZlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""Slabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.standard"", ""name"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level"", ""level"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.index"", ""index"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.genus"", ""genus"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.gonality"", ""q_gonality_bounds"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""rational_cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cm_discriminants"", ""cm_discriminants"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/ag.conductor"", ""conductor"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.simple"", ""simple"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/av.squarefree"", ""squarefree"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.contains_negative_one"", ""contains_negative_one"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.decomposition"", ""dims"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.models"", ""models"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.known_points"", ""num_known_degree1_points"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.local_obstruction"", ""pointless"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level_structure"", ""generators"")"
14.42.3.b.1,14.42.3.2,,14A3,,,,14,42,3,"[2, 2]",3,0,[-4],"[[2, 6], [7, 6]]",False,True,True,"[[1, 2], [1, 1]]",3,1,False,"[[5, 4, 11, 1], [9, 11, 8, 5]]"
14.56.3.b.1,14.56.3.2,,14C3,,,,14,56,3,"[2, 2]",4,1,[],"[[2, 6], [7, 6]]",False,True,True,"[[1, 2], [1, 1]]",3,1,False,"[[0, 11, 13, 7], [8, 7, 7, 12]]"
15.60.3.b.1,15.60.3.6,,15B3,,,,15,60,3,"[3, 3]",4,0,[-3],"[[3, 6], [5, 6]]",False,True,True,"[[1, 2], [1, 1]]",1,1,False,"[[7, 1, 2, 12], [14, 3, 14, 1]]"
15.60.3.c.1,15.60.3.2,,15C3,,,,15,60,3,"[3, 4]",4,0,[],"[[3, 6], [5, 6]]",False,True,True,"[[1, 1, 1], [1, 1, 1]]",1,0,True,"[[6, 11, 13, 9], [7, 13, 11, 7], [13, 4, 2, 7]]"
15.60.3.d.1,15.60.3.1,,15C3,,,,15,60,3,"[3, 3]",4,0,"[-3, -8]","[[3, 4], [5, 6]]",False,True,True,"[[1, 1, 1], [1, 1, 1]]",1,2,False,"[[3, 8, 4, 12], [8, 3, 9, 2], [9, 11, 8, 6], [11, 12, 6, 4]]"
15.60.3.f.1,15.60.3.4,,15C3,,,,15,60,3,"[3, 4]",4,0,[],"[[3, 4], [5, 5]]",False,True,True,"[[1, 1, 1], [1, 1, 1]]",1,0,,"[[6, 10, 10, 9], [8, 11, 7, 8], [14, 6, 12, 4]]"
15.80.3.b.1,15.80.3.3,,15G3,,,,15,80,3,"[2, 2]",8,0,"[-3, -12, -27]","[[3, 4], [5, 6]]",False,True,True,"[[1, 1, 1], [1, 1, 1]]",3,3,False,"[[4, 8, 6, 4], [13, 0, 0, 2], [14, 11, 12, 14]]"
15.90.3.a.1,15.90.3.2,,15H3,,,,15,90,3,"[3, 4]",6,0,[],"[[3, 4], [5, 6]]",False,True,True,"[[1, 1, 1], [1, 1, 1]]",,0,,"[[0, 11, 13, 0], [12, 10, 10, 12], [13, 10, 5, 1]]"
15.90.3.b.1,15.90.3.4,,15H3,,,,15,90,3,"[3, 4]",6,0,[],"[[3, 6], [5, 6]]",False,True,True,"[[1, 1, 1], [1, 1, 1]]",1,0,,"[[0, 1, 1, 0], [10, 1, 2, 10], [10, 4, 4, 5]]"
15.90.3.c.1,15.90.3.1,,15H3,,,,15,90,3,"[3, 3]",6,2,[],"[[3, 4], [5, 5]]",False,True,True,"[[1, 1, 1], [1, 1, 1]]",,0,False,"[[5, 7, 4, 10], [8, 0, 0, 14], [10, 13, 14, 10]]"
15.160.3-15.b.1.1,15.160.3.12,,15G3,,,,15,160,3,"[2, 2]",8,0,"[-3, -12, -27]","[[3, 4], [5, 6]]",False,True,False,"[[1, 1, 1], [1, 1, 1]]",,3,False,"[[1, 7, 6, 14], [8, 12, 6, 7], [14, 2, 9, 14]]"
15.160.3-15.b.1.2,15.160.3.6,,15G3,,,,15,160,3,"[2, 2]",8,0,"[-3, -12, -27]","[[3, 4], [5, 6]]",False,True,False,"[[1, 1, 1], [1, 1, 1]]",,3,False,"[[7, 9, 12, 8], [13, 8, 9, 2], [13, 9, 3, 13]]"
15.160.3-15.b.1.3,15.160.3.16,,15G3,,,,15,160,3,"[2, 2]",8,0,"[-3, -12, -27]","[[3, 4], [5, 6]]",False,True,False,"[[1, 1, 1], [1, 1, 1]]",,3,False,"[[1, 5, 0, 14], [13, 7, 6, 2], [14, 13, 9, 1]]"
15.160.3-15.b.1.4,15.160.3.8,,15G3,,,,15,160,3,"[2, 2]",8,0,"[-3, -12, -27]","[[3, 4], [5, 6]]",False,True,False,"[[1, 1, 1], [1, 1, 1]]",,3,False,"[[2, 3, 9, 13], [4, 12, 9, 4], [7, 1, 12, 7]]"
16.48.3.b.1,16.48.3.44,X413,16A3,,,,16,48,3,"[3, 3]",4,2,[],"[[2, 22]]",False,True,True,"[[1, 1, 1], [1, 1, 1]]",1,1,False,"[[3, 12, 8, 3], [5, 8, 14, 3], [11, 10, 4, 3], [15, 8, 12, 11]]"
16.48.3.b.2,16.48.3.43,X425,16A3,,,,16,48,3,"[3, 3]",4,2,[],"[[2, 22]]",False,True,True,"[[1, 1, 1], [1, 1, 1]]",1,1,False,"[[7, 0, 6, 13], [7, 14, 8, 11], [9, 0, 12, 13], [9, 14, 0, 5]]"
16.48.3.ba.1,16.48.3.59,X419,16D3,,,,16,48,3,"[2, 2]",4,0,[],"[[2, 20]]",False,True,True,"[[1, 1, 1], [1, 1, 1]]",3,0,,"[[1, 2, 4, 15], [1, 3, 14, 5], [9, 13, 2, 5], [15, 4, 0, 1]]"
16.48.3.bb.1,16.48.3.67,,16D3,,,,16,48,3,"[2, 2]",4,0,[-8],"[[2, 19]]",False,True,True,"[[1, 1, 1], [1, 1, 1]]",3,1,False,"[[3, 15, 6, 13], [9, 9, 10, 15], [9, 10, 12, 1], [15, 2, 12, 9]]"
16.48.3.bd.1,16.48.3.47,X411,16A3,,,,16,48,3,"[3, 3]",4,2,[],"[[2, 22]]",False,True,True,"[[1, 1, 1], [1, 1, 1]]",1,1,False,"[[5, 2, 4, 13], [9, 7, 4, 11], [9, 8, 12, 13], [11, 11, 4, 5]]"
16.48.3.bd.2,16.48.3.48,X412,16A3,,,,16,48,3,"[3, 3]",4,2,[],"[[2, 22]]",False,True,True,"[[1, 1, 1], [1, 1, 1]]",1,1,False,"[[5, 1, 4, 3], [7, 10, 4, 15], [9, 6, 4, 9], [15, 4, 12, 3]]"
16.48.3.bp.1,16.48.3.3,,16C3,,,,16,48,3,"[4, 4]",4,0,[],"[[2, 24]]",False,True,True,"[[1, 2], [1, 1]]",3,0,True,"[[7, 1, 12, 13], [9, 5, 2, 7], [11, 11, 10, 13]]"
