"=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.label"", ""label"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RSZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""CPlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""SZlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""Slabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.standard"", ""name"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level"", ""level"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.index"", ""index"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.genus"", ""genus"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.gonality"", ""q_gonality_bounds"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""rational_cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cm_discriminants"", ""cm_discriminants"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/ag.conductor"", ""conductor"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.simple"", ""simple"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/av.squarefree"", ""squarefree"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.contains_negative_one"", ""contains_negative_one"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.decomposition"", ""dims"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.models"", ""models"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.known_points"", ""num_known_degree1_points"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.local_obstruction"", ""pointless"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level_structure"", ""generators"")"
13.78.3.a.1,13.78.3.1,,13A3,,13Nn,Xns+(13),13,78,3,"[3, 3]",6,0,"[-7, -8, -11, -19, -28, -67, -163]","[[13, 6]]",True,True,True,"[[3], [1]]",1,7,False,"[[0, 12, 11, 0], [1, 8, 2, 12]]"
13.91.3.a.1,13.91.3.2,,13B3,,13S4,XS4(13),13,91,3,"[3, 3]",7,0,[-3],"[[13, 6]]",True,True,True,"[[3], [1]]",1,3,False,"[[3, 2, 11, 5], [11, 7, 1, 2]]"
13.91.3.b.1,13.91.3.1,,13C3,,13Ns,Xsp+(13),13,91,3,"[3, 3]",7,1,"[-3, -4, -12, -16, -27, -43]","[[13, 6]]",True,True,True,"[[3], [1]]",1,7,False,"[[0, 6, 8, 0], [6, 0, 0, 3]]"
20.80.3.d.1,20.80.3.1,,20O3,,,Xns+(20),20,80,3,"[2, 2]",4,0,"[-3, -27, -43, -67, -163]","[[2, 12], [5, 6]]",False,True,True,"[[1, 1, 1], [1, 1, 1]]",3,5,False,"[[12, 9, 11, 3], [17, 9, 12, 3], [18, 19, 1, 2]]"
24.72.3.eu.1,24.72.3.86,,12G3,,,,24,72,3,"[4, 4]",8,0,[],"[[2, 18], [3, 6]]",False,False,True,"[[1, 1], [1, 2]]",3,0,,"[[1, 18, 12, 23], [5, 16, 4, 19], [17, 23, 22, 5], [19, 22, 20, 19]]"
24.72.3.gn.1,24.72.3.112,,12G3,,,,24,72,3,"[4, 4]",8,0,[],"[[2, 18], [3, 6]]",False,False,True,"[[1, 1], [1, 2]]",3,0,True,"[[19, 1, 22, 17], [23, 15, 6, 11], [23, 21, 12, 1]]"
24.72.3.ma.1,24.72.3.104,,12G3,,,,24,72,3,"[4, 4]",8,0,[],"[[2, 18], [3, 6]]",False,False,True,"[[1, 1], [1, 2]]",3,0,True,"[[3, 1, 16, 3], [7, 18, 18, 17], [7, 20, 8, 17]]"
24.72.3.rs.1,24.72.3.82,,12G3,,,,24,72,3,"[4, 4]",8,0,[],"[[2, 18], [3, 6]]",False,False,True,"[[1, 1], [1, 2]]",3,0,True,"[[1, 20, 8, 23], [19, 10, 8, 1], [21, 11, 2, 9], [23, 22, 16, 1]]"
24.96.3.iz.1,24.96.3.96,,24AB3,,,Xns+(24),24,96,3,"[2, 3]",4,0,"[-3, -19, -43, -67, -163]","[[2, 18], [3, 6]]",False,True,True,"[[1, 1, 1], [1, 1, 1]]",1,0,False,"[[14, 17, 23, 10], [18, 5, 23, 13], [19, 2, 14, 17], [19, 7, 16, 5]]"
30.60.3.r.1,30.60.3.7,,30H3,,,,30,60,3,"[2, 3]",2,0,"[-3, -7, -43, -67, -163]","[[2, 4], [3, 6], [5, 6]]",False,True,True,"[[1, 1, 1], [1, 1, 1]]",1,0,False,"[[2, 27, 27, 28], [3, 1, 23, 12], [5, 2, 28, 5], [23, 24, 0, 17]]"
32.96.3.bh.1,32.96.3.230,X619,16P3,,,,32,96,3,"[2, 3]",10,2,[-28],"[[2, 28]]",False,True,True,"[[1, 2], [1, 1]]",1,2,False,"[[7, 7, 16, 9], [13, 22, 0, 17], [19, 1, 26, 29], [27, 12, 24, 3]]"
