"=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.label"", ""label"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RSZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""CPlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""SZlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""Slabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.standard"", ""name"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level"", ""level"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.index"", ""index"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.genus"", ""genus"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.gonality"", ""q_gonality_bounds"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""rational_cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cm_discriminants"", ""cm_discriminants"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/ag.conductor"", ""conductor"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.simple"", ""simple"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/av.squarefree"", ""squarefree"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.contains_negative_one"", ""contains_negative_one"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.decomposition"", ""dims"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.models"", ""models"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.known_points"", ""num_known_degree1_points"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.local_obstruction"", ""pointless"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level_structure"", ""generators"")"
11.110.4.a.1,11.110.4.2,,11A4,,11Cn,Xns(11),11,110,4,"[3, 4]",10,0,[],"[[11, 8]]",False,True,True,"[[1, 1, 1, 1], [1, 1, 1, 1]]",2,0,True,"[[1, 1, 6, 1]]"
11.110.4.b.1,11.110.4.1,,11A4,,11Nn.1.3,,11,110,4,"[3, 4]",10,0,[],"[[11, 7]]",False,True,True,"[[1, 1, 1, 1], [1, 1, 1, 1]]",1,0,,"[[1, 10, 1, 2], [10, 0, 1, 1]]"
15.60.4.a.1,15.60.4.1,,15A4,,,,15,60,4,"[2, 4]",4,2,[],"[[3, 6], [5, 8]]",False,False,True,"[[1, 1, 1], [2, 1, 1]]",2,1,False,"[[2, 11, 9, 13], [5, 3, 3, 5], [10, 6, 12, 10]]"
15.60.4.c.1,15.60.4.3,,15B4,,,,15,60,4,"[3, 4]",4,0,[],"[[3, 8], [5, 8]]",False,True,True,"[[1, 1, 2], [1, 1, 1]]",2,0,True,"[[1, 7, 4, 11], [5, 6, 12, 5], [8, 10, 5, 8]]"
15.60.4.d.1,15.60.4.5,,15B4,,,,15,60,4,"[3, 3]",4,0,[-3],"[[3, 8], [5, 8]]",False,True,True,"[[1, 1, 2], [1, 1, 1]]",1,1,False,"[[10, 9, 12, 5], [14, 8, 11, 4], [14, 9, 12, 1]]"
15.90.4.a.1,15.90.4.1,,15D4,,,,15,90,4,"[3, 3]",6,2,[],"[[3, 8], [5, 8]]",False,True,True,"[[1, 1, 2], [1, 1, 1]]",2,1,False,"[[2, 2, 5, 4], [7, 10, 5, 7], [8, 13, 5, 11], [11, 13, 10, 4]]"
15.90.4.b.1,15.90.4.4,,15D4,,,,15,90,4,"[3, 4]",6,0,[],"[[3, 8], [5, 8]]",False,True,True,"[[1, 1, 2], [1, 1, 1]]",2,0,,"[[5, 6, 9, 10], [10, 4, 8, 10], [13, 10, 10, 8]]"
15.90.4.c.1,15.90.4.6,,15C4,,,,15,90,4,"[3, 4]",6,0,[],"[[3, 8], [5, 7]]",False,True,True,"[[1, 1, 1, 1], [1, 1, 1, 1]]",2,0,True,"[[3, 5, 5, 8], [7, 7, 7, 8], [14, 0, 9, 8]]"
15.90.4.d.1,15.90.4.5,,15C4,,,,15,90,4,"[3, 4]",6,2,[-11],"[[3, 5], [5, 7]]",False,True,True,"[[1, 1, 1, 1], [1, 1, 1, 1]]",1,2,False,"[[1, 0, 3, 4], [2, 0, 11, 13], [4, 4, 10, 11], [7, 4, 6, 8]]"
15.90.4.f.1,15.90.4.7,,15C4,,,,15,90,4,"[3, 4]",6,0,[],"[[3, 5], [5, 7]]",False,True,True,"[[1, 1, 1, 1], [1, 1, 1, 1]]",2,0,,"[[1, 10, 0, 11], [2, 1, 4, 13], [3, 13, 5, 9]]"
15.120.4-15.a.1.1,15.120.4.2,,15A4,,,,15,120,4,"[2, 4]",4,2,[],"[[3, 6], [5, 8]]",False,False,False,"[[1, 1, 1], [2, 1, 1]]",,1,False,"[[13, 1, 3, 14], [14, 14, 9, 1]]"
15.120.4-15.a.1.2,15.120.4.1,,15A4,,,,15,120,4,"[2, 4]",4,2,[],"[[3, 6], [5, 8]]",False,False,False,"[[1, 1, 1], [2, 1, 1]]",,1,False,"[[7, 12, 3, 7], [8, 11, 12, 1]]"
