"=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.label"", ""label"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RSZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""CPlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""SZlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""Slabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.standard"", ""name"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level"", ""level"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.index"", ""index"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.genus"", ""genus"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.gonality"", ""q_gonality_bounds"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""rational_cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cm_discriminants"", ""cm_discriminants"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/ag.conductor"", ""conductor"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.simple"", ""simple"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/av.squarefree"", ""squarefree"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.contains_negative_one"", ""contains_negative_one"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.decomposition"", ""dims"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.models"", ""models"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.known_points"", ""num_known_degree1_points"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.local_obstruction"", ""pointless"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level_structure"", ""generators"")"
21.126.4.d.1,21.126.4.4,,21D4,,,Xns+(21),21,126,4,"[3, 4]",6,0,"[-4, -16, -43, -67, -163]","[[3, 8], [7, 8]]",False,True,True,"[[1, 1, 1, 1], [1, 1, 1, 1]]",2,5,False,"[[4, 1, 7, 17], [11, 1, 0, 10], [17, 15, 3, 2]]"
22.110.4.b.1,22.110.4.2,,22B4,,,Xns+(22),22,110,4,"[3, 4]",5,0,"[-3, -4, -27, -67, -163]","[[2, 6], [11, 8]]",False,True,True,"[[1, 1, 2], [1, 1, 1]]",1,5,False,"[[9, 9, 0, 13], [16, 7, 13, 6], [17, 0, 5, 5]]"
25.100.4.d.1,25.100.4.4,,25E4,,,,25,100,4,"[3, 4]",4,0,[],"[[5, 16]]",False,False,True,"[[2], [2]]",2,0,True,"[[2, 10, 20, 22], [6, 24, 11, 12]]"
25.150.4.c.1,25.150.4.3,,25F4,,,,25,150,4,"[3, 4]",14,0,[],"[[5, 16]]",False,False,True,"[[2], [2]]",2,0,True,"[[3, 15, 20, 4], [7, 20, 15, 7]]"
25.150.4.d.1,25.150.4.4,,25F4,,,,25,150,4,"[3, 4]",14,0,[-3],"[[5, 16]]",False,True,True,"[[2, 2], [1, 1]]",2,0,False,"[[13, 22, 9, 7], [17, 7, 15, 8]]"
25.150.4.g.1,25.150.4.7,,25G4,,,,25,150,4,"[3, 5]",14,0,[],"[[5, 16]]",False,False,True,"[[2], [2]]",2,0,True,"[[3, 11, 0, 3], [9, 20, 0, 12]]"
28.84.4.a.1,28.84.4.1,,28B4,,,,28,84,4,"[3, 4]",3,0,"[-3, -4, -11, -43, -67, -163]","[[2, 16], [7, 8]]",False,True,True,"[[1, 1, 2], [1, 1, 1]]",2,0,False,"[[7, 9, 16, 1], [19, 15, 15, 16], [23, 2, 6, 5], [27, 27, 6, 9]]"
33.110.4.a.1,33.110.4.2,,11A4,,,,33,110,4,"[3, 4]",10,0,"[-3, -12, -27]","[[3, 6], [11, 8]]",False,True,True,"[[1, 1, 1, 1], [1, 1, 1, 1]]",2,0,False,"[[4, 27, 30, 29], [11, 32, 10, 27], [15, 7, 28, 18]]"
42.126.4.d.1,42.126.4.2,,42I4,,,,42,126,4,"[3, 3]",3,0,"[-4, -11, -43, -67, -163]","[[2, 6], [3, 6], [7, 8]]",False,True,True,"[[1, 1, 1, 1], [1, 1, 1, 1]]",2,0,False,"[[1, 38, 31, 13], [28, 15, 15, 13], [31, 21, 18, 25], [37, 6, 6, 17]]"
44.110.4.a.1,44.110.4.4,,11A4,,,,44,110,4,"[3, 4]",10,0,"[-4, -16]","[[2, 12], [11, 8]]",False,True,True,"[[1, 1, 1, 1], [1, 1, 1, 1]]",1,1,False,"[[22, 31, 31, 39], [25, 21, 36, 19], [39, 28, 20, 5]]"
44.110.4.d.1,44.110.4.3,,22B4,,,,44,110,4,"[3, 4]",5,0,"[-4, -12]","[[2, 12], [11, 8]]",False,True,True,"[[1, 1, 2], [1, 1, 1]]",2,0,False,"[[2, 15, 1, 20], [40, 27, 27, 36], [42, 43, 43, 1]]"
48.72.4.bq.1,48.72.4.14,,24H4,,,,48,72,4,"[3, 4]",3,1,"[-4, -28]","[[2, 30], [3, 6]]",False,True,True,"[[1, 1, 2], [1, 1, 1]]",2,1,False,"[[1, 1, 28, 11], [7, 41, 20, 17], [11, 20, 46, 29], [15, 5, 20, 33], [33, 41, 22, 15], [35, 14, 20, 7]]"
48.72.4.bq.2,48.72.4.15,,24H4,,,,48,72,4,"[3, 4]",3,1,[-4],"[[2, 30], [3, 6]]",False,True,True,"[[1, 1, 2], [1, 1, 1]]",2,1,False,"[[1, 35, 22, 31], [3, 8, 32, 3], [7, 2, 34, 25], [11, 38, 32, 7], [23, 9, 30, 29], [43, 17, 28, 37]]"
48.72.4.bs.1,48.72.4.36,,24O4,,,,48,72,4,"[2, 4]",3,1,[-4],"[[2, 30], [3, 8]]",False,True,True,"[[1, 1, 2], [1, 1, 1]]",2,1,False,"[[7, 31, 4, 29], [19, 33, 18, 5], [21, 22, 22, 27], [23, 28, 22, 25], [25, 26, 46, 31], [33, 22, 26, 39]]"
48.72.4.bs.2,48.72.4.34,,24O4,,,,48,72,4,"[2, 4]",3,1,"[-4, -28]","[[2, 30], [3, 8]]",False,True,True,"[[1, 1, 2], [1, 1, 1]]",2,1,False,"[[19, 6, 12, 7], [25, 22, 20, 13], [29, 9, 24, 43], [29, 14, 44, 25], [33, 41, 46, 39], [41, 23, 22, 23]]"
48.72.4.cb.1,48.72.4.45,,48H4,,,,48,72,4,"[2, 4]",3,1,"[-4, -7]","[[2, 30], [3, 8]]",False,True,True,"[[1, 1, 2], [1, 1, 1]]",2,1,False,"[[5, 47, 22, 11], [19, 40, 20, 31], [19, 43, 20, 37], [27, 46, 44, 15], [33, 19, 28, 15], [45, 38, 14, 3]]"
48.72.4.cb.2,48.72.4.47,,48H4,,,,48,72,4,"[2, 4]",3,1,[-4],"[[2, 30], [3, 8]]",False,True,True,"[[1, 1, 2], [1, 1, 1]]",2,1,False,"[[1, 8, 14, 35], [5, 10, 2, 47], [13, 9, 12, 35], [29, 22, 14, 35], [35, 16, 2, 41], [45, 14, 34, 15]]"
48.72.4.cd.1,48.72.4.19,,48E4,,,,48,72,4,"[3, 3]",3,1,[-4],"[[2, 30], [3, 6]]",False,True,True,"[[1, 1, 2], [1, 1, 1]]",2,1,False,"[[11, 12, 6, 29], [11, 22, 16, 19], [29, 20, 20, 1], [33, 29, 10, 27], [41, 47, 16, 47], [47, 41, 44, 1]]"
48.72.4.cd.2,48.72.4.17,,48E4,,,,48,72,4,"[3, 3]",3,1,"[-4, -7]","[[2, 30], [3, 6]]",False,True,True,"[[1, 1, 2], [1, 1, 1]]",2,1,False,"[[5, 8, 28, 41], [5, 37, 28, 43], [9, 37, 26, 3], [23, 26, 38, 37], [35, 41, 38, 13], [45, 22, 40, 45]]"
50.100.4.b.1,50.100.4.2,,50E4,,,,50,100,4,"[3, 4]",2,0,[-3],"[[2, 4], [5, 16]]",False,True,True,"[[2, 2], [1, 1]]",2,0,False,"[[6, 39, 19, 48], [38, 3, 31, 17]]"
60.60.4.cc.1,60.60.4.33,,15B4,,,,60,60,4,"[3, 4]",4,0,[],"[[2, 12], [3, 8], [5, 8]]",False,True,True,"[[1, 1, 2], [1, 1, 1]]",2,0,,"[[34, 49, 43, 11], [36, 43, 55, 39], [37, 34, 29, 19], [41, 13, 35, 14], [59, 56, 1, 41]]"
60.60.4.cd.1,60.60.4.35,,15B4,,,,60,60,4,"[3, 4]",4,0,[],"[[2, 12], [3, 8], [5, 8]]",False,True,True,"[[1, 1, 2], [1, 1, 1]]",2,0,True,"[[25, 1, 11, 58], [32, 19, 49, 19], [37, 43, 38, 1], [44, 9, 3, 1], [55, 57, 42, 1]]"
60.60.4.cq.1,60.60.4.13,,60A4,,,,60,60,4,"[2, 4]",1,1,"[-4, -11, -19]","[[2, 12], [3, 6], [5, 8]]",False,True,True,"[[1, 1, 1, 1], [1, 1, 1, 1]]",2,1,False,"[[1, 32, 7, 55], [13, 57, 39, 52], [29, 29, 59, 16], [35, 46, 58, 13], [49, 30, 42, 11]]"
60.90.4.i.1,60.90.4.11,,15D4,,,,60,90,4,"[3, 3]",6,0,"[-4, -16]","[[2, 12], [3, 8], [5, 8]]",False,True,True,"[[1, 1, 2], [1, 1, 1]]",2,0,False,"[[3, 50, 25, 57], [6, 5, 5, 3], [10, 57, 9, 50], [17, 40, 5, 53], [24, 35, 25, 42]]"
60.90.4.j.1,60.90.4.16,,15D4,,,,60,90,4,"[3, 4]",6,0,[],"[[2, 12], [3, 8], [5, 8]]",False,True,True,"[[1, 1, 2], [1, 1, 1]]",2,0,,"[[5, 51, 3, 20], [10, 41, 43, 10], [16, 55, 25, 8], [22, 45, 45, 44], [56, 25, 5, 2]]"
