"=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.label"", ""label"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RSZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""CPlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""SZlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""Slabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.standard"", ""name"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level"", ""level"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.index"", ""index"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.genus"", ""genus"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.gonality"", ""q_gonality_bounds"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""rational_cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cm_discriminants"", ""cm_discriminants"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/ag.conductor"", ""conductor"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.simple"", ""simple"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/av.squarefree"", ""squarefree"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.contains_negative_one"", ""contains_negative_one"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.decomposition"", ""dims"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.models"", ""models"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.known_points"", ""num_known_degree1_points"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.local_obstruction"", ""pointless"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level_structure"", ""generators"")"
14.144.4.f.1,14.144.4.9,,14B4,,,,14,144,4,"[3, 4]",18,0,[-7],"[[2, 6], [7, 7]]",False,False,True,"[[1, 1, 1], [1, 1, 2]]",2,1,False,"[[1, 13, 0, 13], [3, 2, 0, 3]]"
14.288.4-14.f.1.1,14.288.4.15,,14B4,,,,14,288,4,"[3, 4]",18,0,[-7],"[[2, 6], [7, 7]]",False,False,False,"[[1, 1, 1], [1, 1, 2]]",,1,False,"[[11, 1, 0, 3], [11, 10, 0, 11]]"
14.288.4-14.f.1.2,14.288.4.18,,14B4,,,,14,288,4,"[3, 4]",18,0,[-7],"[[2, 6], [7, 7]]",False,False,False,"[[1, 1, 1], [1, 1, 2]]",,1,False,"[[5, 11, 0, 9], [11, 12, 0, 11]]"
15.60.4.b.1,15.60.4.4,,15A4,,,,15,60,4,"[2, 4]",4,0,[],"[[3, 6], [5, 8]]",False,True,True,"[[1, 1, 1, 1], [1, 1, 1, 1]]",2,0,,"[[2, 6, 8, 7], [14, 2, 6, 1]]"
15.60.4.e.1,15.60.4.2,,15B4,,,,15,60,4,"[3, 4]",4,0,[],"[[3, 8], [5, 8]]",False,False,True,"[[1, 2], [2, 1]]",2,0,True,"[[0, 14, 7, 0], [14, 1, 2, 14], [14, 3, 9, 1]]"
15.60.4.f.1,15.60.4.6,,15B4,,,,15,60,4,"[3, 3]",4,0,[],"[[3, 8], [5, 8]]",False,False,True,"[[1, 2], [2, 1]]",2,0,,"[[1, 4, 2, 4], [11, 6, 3, 4], [12, 1, 7, 12]]"
15.90.4.e.1,15.90.4.8,,15C4,,,,15,90,4,"[3, 4]",6,0,[],"[[3, 8], [5, 7]]",False,True,True,"[[1, 1, 1, 1], [1, 1, 1, 1]]",2,0,True,"[[0, 14, 13, 0], [5, 9, 8, 10], [13, 0, 10, 11]]"
15.90.4.g.1,15.90.4.2,,15D4,,,,15,90,4,"[3, 3]",6,0,[],"[[3, 8], [5, 8]]",False,False,True,"[[1, 2], [2, 1]]",2,0,,"[[0, 14, 13, 0], [5, 1, 8, 5], [10, 8, 1, 10], [12, 10, 10, 3]]"
15.90.4.h.1,15.90.4.3,,15D4,,,,15,90,4,"[3, 4]",6,0,[],"[[3, 8], [5, 8]]",False,False,True,"[[1, 2], [2, 1]]",2,0,,"[[4, 5, 10, 7], [7, 10, 10, 8], [10, 8, 11, 5]]"
16.96.4.b.1,16.96.4.15,,16B4,,,,16,96,4,"[3, 4]",8,0,[-4],"[[2, 30]]",False,True,True,"[[1, 1, 1, 1], [1, 1, 1, 1]]",1,1,False,"[[13, 1, 6, 15], [13, 6, 4, 9], [13, 15, 8, 11]]"
16.96.4.h.1,16.96.4.2,,16B4,,,,16,96,4,"[3, 4]",8,0,[-4],"[[2, 30]]",False,True,True,"[[1, 1, 1, 1], [1, 1, 1, 1]]",1,1,False,"[[7, 0, 6, 1], [9, 15, 0, 7], [11, 2, 2, 5]]"
16.96.4.i.1,16.96.4.16,,16B4,,,,16,96,4,"[3, 4]",8,0,[-4],"[[2, 30]]",False,False,True,"[[1, 1, 1], [1, 1, 2]]",1,1,False,"[[7, 3, 2, 13], [7, 4, 6, 9], [15, 1, 0, 9]]"
16.96.4.j.1,16.96.4.12,,16B4,,,,16,96,4,"[3, 4]",8,0,[-4],"[[2, 30]]",False,True,True,"[[1, 1, 1, 1], [1, 1, 1, 1]]",1,1,False,"[[3, 12, 10, 13], [11, 9, 6, 1], [13, 6, 4, 9]]"
16.96.4.o.1,16.96.4.1,,16B4,,,,16,96,4,"[3, 4]",8,0,[-4],"[[2, 30]]",False,False,True,"[[1, 1, 1], [1, 1, 2]]",1,1,False,"[[5, 9, 4, 11], [7, 12, 6, 1], [11, 13, 0, 5]]"
16.96.4.p.1,16.96.4.5,,16B4,,,,16,96,4,"[3, 4]",8,0,[-4],"[[2, 30]]",False,True,True,"[[1, 1, 1, 1], [1, 1, 1, 1]]",1,1,False,"[[3, 13, 14, 13], [5, 9, 12, 11], [15, 2, 12, 3]]"
18.72.4.q.1,18.72.4.13,,18I4,,,,18,72,4,"[3, 4]",6,0,[-3],"[[2, 6], [3, 14]]",False,False,True,"[[1, 1, 1], [1, 1, 2]]",2,1,False,"[[5, 2, 6, 5], [5, 8, 3, 13], [8, 3, 9, 10]]"
18.144.4-18.q.1.1,18.144.4.22,,18I4,,,,18,144,4,"[3, 4]",6,0,[-3],"[[2, 6], [3, 14]]",False,False,False,"[[1, 1, 1], [1, 1, 2]]",,1,False,"[[7, 16, 12, 7], [10, 9, 9, 8], [13, 2, 3, 5]]"
18.144.4-18.q.1.2,18.144.4.28,,18I4,,,,18,144,4,"[3, 4]",6,0,[-3],"[[2, 6], [3, 14]]",False,False,False,"[[1, 1, 1], [1, 1, 2]]",,1,False,"[[4, 15, 9, 13], [5, 15, 0, 13], [8, 13, 15, 10]]"
20.60.4.n.1,20.60.4.18,,20A4,,,,20,60,4,"[3, 4]",4,0,[],"[[2, 12], [5, 8]]",False,False,True,"[[1, 1, 1], [1, 1, 2]]",2,0,True,"[[3, 0, 10, 9], [11, 2, 19, 7]]"
20.60.4.o.1,20.60.4.16,,20A4,,,,20,60,4,"[3, 4]",4,0,[-4],"[[2, 10], [5, 8]]",False,True,True,"[[1, 1, 1, 1], [1, 1, 1, 1]]",1,1,False,"[[13, 0, 15, 11], [13, 12, 13, 3], [13, 18, 16, 19]]"
20.60.4.p.1,20.60.4.22,,20A4,,,,20,60,4,"[3, 4]",4,0,[-4],"[[2, 10], [5, 8]]",False,True,True,"[[1, 1, 1, 1], [1, 1, 1, 1]]",1,1,False,"[[13, 16, 3, 3], [13, 18, 5, 19], [19, 16, 3, 1]]"
20.60.4.u.1,20.60.4.3,,20C4,,,,20,60,4,"[3, 4]",3,1,[-4],"[[2, 13], [5, 8]]",False,False,True,"[[1, 1, 1], [1, 2, 1]]",1,2,False,"[[9, 11, 4, 15], [13, 14, 2, 15], [15, 7, 18, 17]]"
20.60.4.w.1,20.60.4.20,,20C4,,,,20,60,4,"[2, 4]",3,1,[-4],"[[2, 13], [5, 8]]",False,True,True,"[[1, 1, 1, 1], [1, 1, 1, 1]]",1,2,False,"[[3, 8, 11, 17], [9, 6, 13, 3], [19, 2, 1, 5]]"
20.90.4.j.1,20.90.4.4,,20E4,,,,20,90,4,"[3, 4]",6,2,[-4],"[[2, 13], [5, 7]]",False,True,True,"[[1, 1, 1, 1], [1, 1, 1, 1]]",1,2,False,"[[1, 19, 8, 19], [3, 13, 0, 17], [9, 13, 12, 11], [13, 0, 10, 3], [17, 18, 0, 1]]"
21.72.4.b.1,21.72.4.3,,21A4,,,,21,72,4,"[3, 3]",6,0,"[-7, -28]","[[3, 8], [7, 6]]",False,False,True,"[[2, 1], [1, 2]]",1,2,False,"[[2, 0, 0, 16], [18, 2, 10, 3], [18, 11, 5, 3], [20, 5, 2, 16]]"
21.126.4.b.1,21.126.4.3,,21D4,,,,21,126,4,"[3, 4]",6,0,[],"[[3, 8], [7, 7]]",False,True,True,"[[1, 1, 1, 1], [1, 1, 1, 1]]",2,0,True,"[[4, 20, 19, 10], [5, 8, 1, 20], [6, 19, 1, 15]]"
21.144.4-21.b.1.1,21.144.4.6,,21A4,,,,21,144,4,"[3, 3]",6,0,"[-7, -28]","[[3, 8], [7, 6]]",False,False,False,"[[2, 1], [1, 2]]",,2,False,"[[11, 13, 14, 17], [13, 2, 5, 17], [13, 3, 18, 5]]"
21.144.4-21.b.1.2,21.144.4.3,,21A4,,,,21,144,4,"[3, 3]",6,0,"[-7, -28]","[[3, 8], [7, 6]]",False,False,False,"[[2, 1], [1, 2]]",,2,False,"[[8, 1, 13, 10], [10, 5, 16, 13], [14, 4, 4, 7]]"
21.144.4-21.b.1.3,21.144.4.11,,21A4,,,,21,144,4,"[3, 3]",6,0,"[-7, -28]","[[3, 8], [7, 6]]",False,False,False,"[[2, 1], [1, 2]]",,2,False,"[[10, 17, 4, 16], [14, 12, 12, 7], [19, 0, 0, 5]]"
