"=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.label"", ""label"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RSZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""CPlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""SZlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""Slabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.standard"", ""name"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level"", ""level"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.index"", ""index"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.genus"", ""genus"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.gonality"", ""q_gonality_bounds"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""rational_cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cm_discriminants"", ""cm_discriminants"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/ag.conductor"", ""conductor"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.simple"", ""simple"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/av.squarefree"", ""squarefree"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.contains_negative_one"", ""contains_negative_one"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.decomposition"", ""dims"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.models"", ""models"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.known_points"", ""num_known_degree1_points"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.local_obstruction"", ""pointless"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level_structure"", ""generators"")"
24.72.5.bt.1,24.72.5.325,,24F5,,,,24,72,5,"[4, 4]",4,0,[],"[[2, 28], [3, 10]]",False,False,True,"[[1, 1, 1, 1], [1, 1, 1, 2]]",2,0,,"[[9, 8, 8, 15], [13, 8, 4, 19], [13, 13, 10, 11], [17, 3, 18, 17]]"
30.60.5.q.1,30.60.5.18,,30B5,,,,30,60,5,"[4, 4]",2,0,[],"[[2, 6], [3, 10], [5, 10]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,True,"[[3, 13, 28, 27], [13, 29, 26, 17], [22, 27, 3, 2]]"
30.120.5.bm.1,30.120.5.27,,30Q5,,,,30,120,5,"[4, 4]",4,0,[],"[[2, 6], [3, 9], [5, 10]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,True,"[[2, 23, 13, 23], [25, 17, 13, 10], [29, 22, 25, 1]]"
32.128.5.b.1,32.128.5.1,X718,16K5,,,,32,128,5,"[4, 4]",8,0,[],"[[2, 45]]",False,True,True,"[[1, 4], [1, 1]]",2,0,,"[[19, 8, 13, 29], [21, 1, 9, 20]]"
36.144.5.r.1,36.144.5.7,,36M5,,,,36,144,5,"[4, 4]",4,0,[-11],"[[2, 20], [3, 17]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,False,"[[0, 25, 11, 0], [1, 33, 21, 8], [35, 9, 9, 34]]"
40.80.5.a.1,40.80.5.1,,20A5,,,,40,80,5,"[3, 4]",4,0,[],"[[2, 26], [5, 10]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,,"[[1, 13, 27, 34], [8, 5, 37, 12], [21, 17, 3, 14], [38, 23, 25, 2]]"
40.80.5.d.1,40.80.5.5,,20A5,,,,40,80,5,"[3, 4]",4,0,[],"[[2, 26], [5, 8]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,True,"[[14, 11, 39, 18], [31, 38, 2, 9], [37, 38, 22, 19], [39, 31, 34, 33]]"
40.80.5.h.1,40.80.5.8,,20B5,,,,40,80,5,"[4, 4]",4,0,[],"[[2, 26], [5, 10]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,True,"[[14, 29, 35, 26], [15, 21, 11, 30], [21, 23, 37, 38], [32, 15, 3, 28]]"
40.120.5.ba.1,40.120.5.111,,20E5,,,,40,120,5,"[4, 4]",12,0,[-8],"[[2, 23], [5, 10]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,False,"[[13, 35, 2, 7], [13, 37, 4, 7], [17, 21, 4, 21], [33, 36, 8, 7]]"
40.120.5.bc.1,40.120.5.148,,20E5,,,,40,120,5,"[4, 4]",12,0,[],"[[2, 23], [5, 10]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,,"[[1, 12, 16, 39], [7, 23, 26, 23], [7, 24, 36, 23], [13, 24, 6, 7]]"
40.120.5.dk.1,40.120.5.143,,10B5,,,,40,120,5,"[4, 4]",12,0,[],"[[2, 23], [5, 9]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,,"[[7, 4, 36, 3], [7, 13, 6, 23], [7, 18, 16, 33], [37, 21, 24, 21]]"
40.120.5.ec.1,40.120.5.146,,20E5,,,,40,120,5,"[4, 4]",12,0,[],"[[2, 23], [5, 9]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,,"[[1, 27, 26, 9], [7, 5, 18, 23], [15, 19, 26, 21], [37, 5, 28, 3]]"
40.120.5.eg.1,40.120.5.119,,10B5,,,,40,120,5,"[4, 4]",12,0,[],"[[2, 23], [5, 9]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,True,"[[3, 20, 12, 17], [9, 2, 38, 17], [11, 20, 30, 11], [33, 33, 12, 35]]"
40.120.5.fb.1,40.120.5.113,,20E5,,,,40,120,5,"[4, 4]",12,0,[],"[[2, 23], [5, 9]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,True,"[[5, 18, 18, 5], [7, 8, 36, 33], [27, 34, 36, 23], [31, 15, 14, 9]]"
40.120.5.hf.1,40.120.5.124,,20F5,,,,40,120,5,"[4, 4]",8,0,[],"[[2, 23], [5, 10]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,,"[[11, 1, 4, 5], [13, 39, 6, 7], [17, 17, 30, 23], [23, 7, 38, 31]]"
40.120.5.hh.1,40.120.5.109,,20F5,,,,40,120,5,"[4, 4]",8,0,[],"[[2, 23], [5, 10]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,,"[[7, 1, 4, 33], [13, 11, 34, 17], [19, 36, 34, 33], [25, 29, 4, 15]]"
40.120.5.o.1,40.120.5.117,,10B5,,,,40,120,5,"[4, 4]",12,0,[-8],"[[2, 23], [5, 10]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,False,"[[7, 31, 14, 33], [37, 24, 26, 13], [37, 32, 38, 5], [39, 11, 4, 33]]"
40.120.5.w.1,40.120.5.141,,10B5,,,,40,120,5,"[4, 4]",12,0,[],"[[2, 23], [5, 10]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,,"[[9, 35, 0, 29], [19, 31, 24, 23], [23, 10, 22, 37], [25, 1, 34, 39]]"
42.84.5.d.1,42.84.5.2,,14B5,,,,42,84,5,"[4, 4]",6,0,[-3],"[[2, 8], [3, 8], [7, 10]]",False,False,True,"[[1, 1, 2], [1, 2, 1]]",2,0,False,"[[11, 23, 1, 24], [37, 19, 14, 19], [41, 1, 36, 19]]"
42.84.5.e.1,42.84.5.6,,14B5,,,,42,84,5,"[4, 4]",6,0,[],"[[2, 8], [3, 8], [7, 10]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[4, 9, 29, 31], [7, 29, 8, 27], [9, 4, 32, 5]]"
