"=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.label"", ""label"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RSZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""RZBlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""CPlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""SZlabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.other_labels"", ""Slabel"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.standard"", ""name"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level"", ""level"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.index"", ""index"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.genus"", ""genus"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.gonality"", ""q_gonality_bounds"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cusps"", ""rational_cusps"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.cm_discriminants"", ""cm_discriminants"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/ag.conductor"", ""conductor"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.simple"", ""simple"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/av.squarefree"", ""squarefree"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.contains_negative_one"", ""contains_negative_one"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.decomposition"", ""dims"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.models"", ""models"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.known_points"", ""num_known_degree1_points"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.local_obstruction"", ""pointless"")","=HYPERLINK(""https://beta.lmfdb.org/knowledge/show/modcurve.level_structure"", ""generators"")"
14.84.5.a.1,14.84.5.5,,14B5,,,Xns(14),14,84,5,"[4, 4]",6,0,[],"[[2, 8], [7, 10]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[1, 6, 10, 9], [8, 7, 7, 1]]"
14.84.5.c.1,14.84.5.4,,14B5,,,,14,84,5,"[4, 4]",6,0,[],"[[2, 8], [7, 10]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[6, 5, 5, 1], [7, 3, 10, 11]]"
14.84.5.e.1,14.84.5.1,,14A5,,,,14,84,5,"[4, 4]",6,0,[],"[[2, 8], [7, 10]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,,"[[4, 9, 1, 3], [12, 3, 13, 2]]"
14.112.5.a.1,14.112.5.1,,14E5,,,,14,112,5,"[4, 4]",8,2,[],"[[2, 8], [7, 10]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,1,False,"[[6, 9, 7, 1], [11, 4, 0, 1], [11, 6, 0, 3]]"
14.112.5.c.1,14.112.5.2,,14E5,,,,14,112,5,"[4, 4]",8,2,[],"[[2, 8], [7, 10]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,1,False,"[[5, 7, 7, 12], [13, 12, 7, 11]]"
14.126.5.d.1,14.126.5.4,,14G5,,,,14,126,5,"[4, 4]",9,0,[-4],"[[2, 5], [7, 10]]",False,True,True,"[[1, 1, 2, 1], [1, 1, 1, 1]]",1,1,False,"[[9, 11, 10, 5], [13, 13, 12, 1]]"
14.224.5-14.a.1.1,14.224.5.1,,14E5,,,,14,224,5,"[4, 4]",8,2,[],"[[2, 8], [7, 10]]",False,True,False,"[[1, 1, 1, 2], [1, 1, 1, 1]]",,1,False,"[[1, 7, 7, 8], [9, 6, 0, 1], [11, 6, 0, 3]]"
14.224.5-14.c.1.1,14.224.5.2,,14E5,,,,14,224,5,"[4, 4]",8,2,[],"[[2, 8], [7, 10]]",False,True,False,"[[1, 1, 1, 2], [1, 1, 1, 1]]",,1,False,"[[9, 8, 7, 3], [11, 9, 0, 13]]"
15.120.5.b.1,15.120.5.4,,15B5,,,,15,120,5,"[4, 4]",12,0,[],"[[3, 7], [5, 8]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,,"[[5, 3, 6, 10], [10, 1, 9, 5], [10, 2, 6, 5]]"
15.120.5.e.1,15.120.5.6,,15A5,,,,15,120,5,"[4, 4]",8,0,[],"[[3, 7], [5, 10]]",False,False,True,"[[1, 1, 1, 1], [2, 1, 1, 1]]",2,0,,"[[0, 1, 7, 0], [8, 6, 3, 7], [9, 2, 4, 9]]"
15.240.5-15.b.1.1,15.240.5.20,,15B5,,,,15,240,5,"[4, 4]",12,0,[],"[[3, 7], [5, 8]]",False,True,False,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",,0,,"[[2, 10, 0, 11], [5, 11, 12, 10]]"
15.240.5-15.b.1.2,15.240.5.18,,15B5,,,,15,240,5,"[4, 4]",12,0,[],"[[3, 7], [5, 8]]",False,True,False,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",,0,,"[[8, 5, 0, 11], [10, 3, 6, 5]]"
15.240.5-15.b.1.3,15.240.5.15,,15B5,,,,15,240,5,"[4, 4]",12,0,[],"[[3, 7], [5, 8]]",False,True,False,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",,0,,"[[5, 14, 12, 10], [7, 10, 0, 1]]"
15.240.5-15.b.1.4,15.240.5.13,,15B5,,,,15,240,5,"[4, 4]",12,0,[],"[[3, 7], [5, 8]]",False,True,False,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",,0,,"[[1, 10, 0, 7], [10, 7, 6, 5]]"
16.96.5.a.1,16.96.5.2,,16B5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 38]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[3, 6, 6, 9], [9, 2, 10, 3], [9, 4, 4, 13], [11, 8, 12, 15]]"
16.96.5.a.2,16.96.5.1,,16B5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 38]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[7, 2, 2, 13], [7, 2, 6, 1], [11, 4, 8, 11], [15, 0, 12, 3]]"
16.96.5.bd.1,16.96.5.92,,16D5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 34]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[5, 9, 6, 1], [7, 1, 6, 3], [11, 3, 2, 9]]"
16.96.5.bd.2,16.96.5.112,,16D5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 34]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[3, 3, 2, 1], [5, 10, 8, 7], [7, 14, 4, 7]]"
16.96.5.bd.3,16.96.5.93,,16D5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 34]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[9, 3, 2, 3], [13, 13, 14, 1], [15, 13, 14, 5]]"
16.96.5.bd.4,16.96.5.113,,16D5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 34]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[7, 14, 4, 15], [9, 11, 2, 13], [15, 7, 10, 13]]"
16.96.5.be.1,16.96.5.52,,16A5,,,,16,96,5,"[4, 4]",8,0,[-4],"[[2, 34]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",1,1,False,"[[3, 10, 2, 5], [9, 12, 8, 9], [11, 11, 2, 9], [15, 3, 2, 13]]"
16.96.5.bf.1,16.96.5.55,,16A5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 33]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,,"[[7, 8, 0, 15], [7, 13, 0, 1], [9, 12, 8, 9], [11, 11, 14, 13]]"
16.96.5.bs.1,16.96.5.6,,16B5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 38]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[3, 0, 12, 7], [3, 9, 12, 9], [3, 13, 8, 1]]"
16.96.5.bs.2,16.96.5.5,,16B5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 38]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[1, 7, 0, 11], [11, 4, 4, 7], [13, 11, 4, 7]]"
16.96.5.bt.1,16.96.5.68,,16B5,,,,16,96,5,"[4, 4]",8,4,[],"[[2, 38]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,1,False,"[[3, 6, 8, 15], [7, 15, 8, 9], [9, 10, 0, 5], [11, 13, 8, 1], [15, 8, 0, 15]]"
16.96.5.bt.2,16.96.5.67,,16B5,,,,16,96,5,"[4, 4]",8,4,[],"[[2, 38]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,1,False,"[[7, 8, 0, 7], [9, 14, 0, 5], [11, 1, 0, 9], [13, 12, 8, 13], [15, 14, 8, 3]]"
16.96.5.cb.1,16.96.5.137,,16C5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 35]]",False,False,True,"[[1, 1, 1, 1], [1, 1, 1, 2]]",2,0,True,"[[1, 6, 4, 1], [7, 6, 4, 9], [11, 7, 6, 13]]"
16.96.5.cc.1,16.96.5.133,,16C5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 35]]",False,False,True,"[[1, 1, 1, 1], [1, 1, 1, 2]]",2,0,True,"[[7, 6, 4, 1], [9, 3, 14, 15], [13, 8, 0, 13]]"
16.96.5.cd.1,16.96.5.103,,16D5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 34]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[5, 12, 4, 11], [13, 3, 2, 7], [15, 1, 14, 15]]"
16.96.5.cd.2,16.96.5.105,,16D5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 34]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[5, 13, 6, 5], [5, 14, 0, 3], [7, 2, 12, 15]]"
16.96.5.ce.1,16.96.5.99,,16D5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 34]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,,"[[5, 13, 2, 9], [7, 0, 0, 7], [11, 10, 4, 11], [15, 8, 8, 1]]"
16.96.5.ce.2,16.96.5.101,,16D5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 34]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,,"[[1, 15, 2, 1], [1, 15, 10, 11], [9, 2, 12, 9], [13, 9, 14, 15]]"
16.96.5.ch.1,16.96.5.72,,16B5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 38]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[1, 15, 4, 11], [3, 6, 8, 15], [9, 11, 12, 11], [15, 1, 12, 5]]"
16.96.5.ch.2,16.96.5.71,,16B5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 38]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[7, 4, 0, 15], [9, 8, 8, 1], [11, 2, 8, 7], [11, 7, 12, 13]]"
16.96.5.ci.1,16.96.5.3,,16B5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 38]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,,"[[3, 12, 12, 15], [9, 7, 0, 15], [11, 0, 8, 3], [15, 12, 8, 15]]"
16.96.5.ci.2,16.96.5.4,,16B5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 38]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,,"[[1, 11, 4, 15], [7, 8, 12, 3], [9, 8, 12, 5], [15, 9, 4, 9]]"
16.96.5.cn.1,16.96.5.77,,16A5,,,,16,96,5,"[4, 4]",8,0,[-4],"[[2, 34]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",1,1,False,"[[1, 5, 14, 11], [7, 7, 10, 13], [11, 7, 10, 1], [15, 4, 6, 1]]"
16.96.5.co.1,16.96.5.80,,16A5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 33]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,,"[[3, 4, 10, 13], [5, 5, 10, 3], [9, 5, 12, 15], [15, 12, 8, 15]]"
16.96.5.cv.1,16.96.5.64,,16F5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 37]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[3, 13, 12, 5], [9, 5, 14, 15], [9, 7, 0, 15]]"
16.96.5.cw.1,16.96.5.90,,16F5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 38]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,,"[[1, 8, 10, 11], [5, 4, 4, 9], [13, 1, 2, 3]]"
16.96.5.cx.1,16.96.5.15,,16F5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 38]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,,"[[1, 4, 4, 5], [11, 5, 4, 13], [11, 15, 10, 13]]"
16.96.5.cy.1,16.96.5.83,,16F5,,,,16,96,5,"[4, 4]",8,2,[],"[[2, 37]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,1,False,"[[7, 8, 12, 11], [9, 12, 6, 7], [13, 0, 12, 1], [15, 15, 4, 9]]"
16.96.5.d.1,16.96.5.46,,16B5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 38]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,,"[[9, 14, 8, 13], [11, 0, 0, 11], [11, 4, 8, 11], [11, 6, 2, 5]]"
16.96.5.d.2,16.96.5.47,,16B5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 38]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,,"[[1, 4, 14, 7], [7, 12, 10, 9], [7, 14, 0, 11], [15, 12, 0, 7]]"
16.96.5.da.1,16.96.5.120,,16E5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 38]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[1, 7, 6, 7], [1, 13, 14, 7], [3, 15, 0, 5]]"
16.96.5.db.1,16.96.5.117,,16E5,,,,16,96,5,"[4, 4]",8,2,[],"[[2, 37]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,1,False,"[[1, 10, 0, 13], [9, 7, 8, 11], [15, 0, 10, 1]]"
16.96.5.de.1,16.96.5.119,,16E5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 38]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,,"[[3, 5, 14, 5], [3, 8, 6, 5], [5, 2, 8, 9]]"
16.96.5.df.1,16.96.5.118,,16E5,,,,16,96,5,"[4, 4]",8,2,[],"[[2, 37]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,1,False,"[[3, 14, 0, 7], [11, 12, 6, 5], [15, 11, 0, 5]]"
16.96.5.dh.1,16.96.5.130,,16E5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 38]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[3, 11, 12, 1], [5, 2, 2, 11], [5, 3, 12, 3]]"
16.96.5.dk.1,16.96.5.123,,16E5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 37]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[1, 14, 0, 5], [7, 5, 10, 1], [13, 10, 2, 3]]"
16.96.5.dl.1,16.96.5.129,,16E5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 38]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,,"[[11, 7, 2, 13], [11, 10, 8, 7], [15, 11, 12, 5]]"
16.96.5.do.1,16.96.5.124,,16E5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 37]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[7, 11, 10, 1], [11, 9, 2, 5], [11, 10, 14, 13]]"
16.96.5.dp.1,16.96.5.65,,16F5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 37]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[3, 14, 6, 5], [5, 0, 4, 9], [13, 15, 12, 3]]"
16.96.5.dq.1,16.96.5.89,,16F5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 38]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[3, 11, 0, 5], [9, 5, 4, 7], [9, 12, 14, 7]]"
16.96.5.dr.1,16.96.5.14,,16F5,,,,16,96,5,"[4, 4]",8,0,[],"[[2, 38]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,0,True,"[[1, 11, 8, 15], [3, 1, 8, 13], [13, 5, 2, 11], [13, 14, 6, 7]]"
16.96.5.ds.1,16.96.5.84,,16F5,,,,16,96,5,"[4, 4]",8,2,[],"[[2, 37]]",False,True,True,"[[1, 1, 1, 2], [1, 1, 1, 1]]",2,1,False,"[[1, 13, 12, 15], [5, 12, 14, 3], [11, 15, 0, 5], [15, 15, 14, 9]]"
16.96.5.dx.1,16.96.5.150,,16H5,,,,16,96,5,"[3, 4]",8,0,[],"[[2, 35]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,,"[[5, 13, 2, 11], [11, 15, 12, 13], [15, 10, 4, 11]]"
16.96.5.dy.1,16.96.5.154,,16H5,,,,16,96,5,"[3, 4]",8,0,[],"[[2, 35]]",False,False,True,"[[1, 1, 1, 1], [1, 1, 1, 2]]",2,0,True,"[[1, 5, 10, 7], [7, 14, 6, 1], [9, 12, 14, 7]]"
16.96.5.ed.1,16.96.5.143,,16H5,,,,16,96,5,"[3, 4]",8,0,[],"[[2, 35]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,,"[[13, 5, 4, 11], [13, 11, 8, 3], [15, 11, 6, 1]]"
16.96.5.ee.1,16.96.5.139,,16H5,,,,16,96,5,"[3, 4]",8,0,[],"[[2, 35]]",False,False,True,"[[1, 1, 1, 1], [1, 1, 1, 2]]",2,0,True,"[[3, 2, 6, 5], [7, 3, 14, 9], [15, 15, 4, 9]]"
16.96.5.ef.1,16.96.5.153,,16H5,,,,16,96,5,"[3, 4]",8,0,[],"[[2, 35]]",False,True,True,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",2,0,,"[[1, 14, 12, 13], [5, 2, 10, 3], [13, 3, 14, 7]]"
